Year,FB%,SL%,CT%,CB%,CH%,SF%,KN%
2012,0.57,0.04,0.04,0.09,0.27,0,0
2012,0.37,0.15,0.1,0.11,0.27,0,0
2012,0.52,0,0.07,0.12,0.28,0,0
2012,0.34,0,0.19,0.18,0.29,0,0
2012,0.47,0,0,0.19,0.34,0,0
2012,0.81,0.19,0,0,0,0,0
2013,0.12,0,0,0,0.01,0,0.87
2013,0.64,0.13,0.06,0.03,0.14,0,0
2013,0.46,0,0.35,0.15,0.04,0.01,0
2013,0.61,0.24,0,0.09,0.06,0.01,0
2013,0.73,0,0.04,0.13,0.06,0.04,0
2013,0.6,0.09,0.05,0,0.22,0.04,0
2013,0.38,0.32,0.16,0.08,0.02,0.05,0
2013,0.36,0,0.33,0.26,0,0.05,0
2013,0.73,0.1,0,0.08,0,0.09,0
2013,0.54,0.25,0,0.03,0.08,0.1,0
2013,0.57,0.27,0,0,0.04,0.12,0
2013,0.57,0.21,0,0.1,0,0.12,0
2013,0.44,0.27,0,0.17,0,0.12,0
2013,0.6,0.15,0,0.12,0,0.13,0
2013,0.4,0,0.39,0.04,0,0.17,0
2013,0.49,0.28,0.06,0,0,0.18,0
2013,0.53,0.18,0.11,0,0,0.18,0
2013,0.62,0.1,0,0.08,0,0.2,0
2013,0.49,0.26,0,0.03,0,0.21,0
2013,0.53,0.18,0,0.06,0,0.23,0
2013,0.73,0.27,0,0,0,0,0
2013,0.6,0.28,0.07,0.03,0.02,0,0
2013,0.58,0.3,0,0.1,0.02,0,0
2013,0.61,0.25,0,0.13,0.02,0,0
2013,0.53,0.25,0,0.21,0.02,0,0
2013,0.59,0.2,0.06,0.13,0.03,0,0
2013,0.6,0.02,0,0.36,0.03,0,0
2013,0.64,0.24,0,0.08,0.04,0,0
2013,0.73,0.13,0,0.1,0.04,0,0
2013,0.61,0.25,0,0.1,0.04,0,0
2013,0.72,0.12,0,0.12,0.04,0,0
2013,0.56,0,0.19,0.21,0.04,0,0
2013,0.41,0,0.29,0.27,0.04,0,0
2013,0.64,0.2,0,0.11,0.05,0,0
2013,0.64,0.2,0,0.12,0.05,0,0
2013,0.86,0.09,0,0,0.05,0,0
2013,0.5,0.18,0.11,0.15,0.06,0,0
2013,0.68,0.12,0,0.15,0.06,0,0
2013,0.71,0,0.04,0.18,0.06,0,0
2013,0.56,0.11,0,0.27,0.06,0,0
2013,0.59,0,0,0.35,0.06,0,0
2013,0.74,0.2,0,0,0.06,0,0
2013,0.5,0,0.3,0.13,0.07,0,0
2013,0.71,0,0,0.22,0.07,0,0
2013,0.67,0.27,0,0,0.07,0,0
2013,0.6,0.33,0,0,0.07,0,0
2013,0.54,0.39,0,0,0.07,0,0
2013,0.46,0.1,0.34,0.02,0.08,0,0
2013,0.63,0.24,0,0.05,0.08,0,0
2013,0.6,0.21,0,0.1,0.08,0,0
2013,0.63,0.24,0,0.05,0.09,0,0
2013,0.59,0.19,0.03,0.11,0.09,0,0
2013,0.49,0,0.25,0.18,0.09,0,0
2013,0.57,0.13,0,0.21,0.09,0,0
2013,0.55,0.28,0.04,0.03,0.1,0,0
2013,0.7,0,0.11,0.09,0.1,0,0
2013,0.52,0.07,0.21,0.09,0.1,0,0
2013,0.53,0,0.24,0.13,0.1,0,0
2013,0.39,0.38,0,0.13,0.1,0,0
2013,0.59,0.11,0.03,0.18,0.1,0,0
2013,0.38,0.34,0,0.18,0.1,0,0
2013,0.69,0,0,0.21,0.1,0,0
2013,0.67,0.23,0,0,0.1,0,0
2013,0.59,0.28,0,0.02,0.11,0,0
2013,0.59,0.2,0,0.09,0.11,0,0
2013,0.49,0.28,0,0.12,0.11,0,0
2013,0.57,0.19,0,0.13,0.11,0,0
2013,0.56,0,0.14,0.2,0.11,0,0
2013,0.65,0,0,0.24,0.11,0,0
2013,0.68,0.12,0,0.08,0.12,0,0
2013,0.55,0.23,0,0.11,0.12,0,0
2013,0.55,0.03,0.17,0.13,0.12,0,0
2013,0.51,0,0.18,0.2,0.12,0,0
2013,0.69,0.17,0,0.02,0.13,0,0
2013,0.53,0.2,0.09,0.07,0.13,0,0
2013,0.52,0,0.23,0.12,0.13,0,0
2013,0.55,0,0.2,0.13,0.13,0,0
2013,0.64,0,0.09,0.14,0.14,0,0
2013,0.39,0,0.35,0.14,0.14,0,0
2013,0.42,0.06,0.23,0.15,0.14,0,0
2013,0.59,0.1,0.02,0.16,0.14,0,0
2013,0.57,0.22,0,0.06,0.15,0,0
2013,0.61,0.15,0,0.09,0.15,0,0
2013,0.47,0.28,0,0.1,0.15,0,0
2013,0.57,0.15,0,0.14,0.15,0,0
2013,0.57,0.12,0,0.16,0.15,0,0
2013,0.62,0,0.06,0.17,0.15,0,0
2013,0.51,0.14,0,0.2,0.15,0,0
2013,0.55,0.01,0.21,0.08,0.16,0,0
2013,0.44,0.27,0,0.13,0.16,0,0
2013,0.45,0.26,0,0.13,0.16,0,0
2013,0.62,0.06,0,0.17,0.16,0,0
2013,0.65,0,0,0.19,0.16,0,0
2013,0.61,0,0,0.23,0.16,0,0
2013,0.54,0,0.18,0.11,0.17,0,0
2013,0.48,0.24,0,0.11,0.17,0,0
2013,0.56,0.13,0,0.14,0.17,0,0
2013,0.54,0.18,0,0.1,0.18,0,0
2013,0.62,0,0,0.2,0.18,0,0
2013,0.63,0.15,0,0.03,0.19,0,0
2013,0.51,0.3,0,0,0.19,0,0
2013,0.46,0,0.27,0.07,0.2,0,0
2013,0.56,0.13,0,0.1,0.2,0,0
2013,0.56,0.15,0,0.08,0.21,0,0
2013,0.6,0,0.07,0.12,0.21,0,0
2013,0.54,0,0,0.25,0.21,0,0
2013,0.64,0.14,0,0.01,0.22,0,0
2013,0.54,0.14,0,0.1,0.22,0,0
2013,0.41,0.36,0,0,0.22,0,0
2013,0.54,0,0.21,0.03,0.23,0,0
2013,0.49,0.17,0,0.11,0.23,0,0
2013,0.54,0.1,0,0.13,0.23,0,0
2013,0.55,0,0.04,0.18,0.23,0,0
2013,0.58,0.13,0,0.05,0.24,0,0
2013,0.47,0.21,0,0.07,0.24,0,0
2013,0.5,0.18,0,0.08,0.24,0,0
2013,0.5,0,0.18,0.07,0.25,0,0
2013,0.41,0,0.22,0.12,0.25,0,0
2013,0.59,0,0,0.17,0.25,0,0
2013,0.46,0,0.17,0.1,0.26,0,0
2013,0.51,0.14,0,0.07,0.28,0,0
2013,0.48,0.06,0.09,0.1,0.28,0,0
2013,0.56,0,0.01,0.15,0.28,0,0
2013,0.5,0,0.1,0.12,0.29,0,0
2013,0.52,0.13,0,0.05,0.3,0,0
2013,0.56,0.15,0,0,0.3,0,0
2013,0.54,0,0.01,0.15,0.31,0,0
2013,0.43,0,0,0.24,0.33,0,0
2014,0.53,0.1,0.08,0.17,0.13,0,0
2014,0.12,0,0,0,0.02,0,0.86
2014,0.62,0.09,0.09,0,0.2,0.01,0
2014,0.54,0.21,0.11,0.09,0.04,0.02,0
2014,0.45,0,0.25,0.16,0.11,0.03,0
2014,0.33,0,0.35,0.27,0,0.05,0
2014,0.5,0.11,0.13,0.12,0.09,0.06,0
2014,0.49,0.27,0,0.14,0,0.1,0
2014,0.59,0.22,0,0.08,0,0.12,0
2014,0.55,0.21,0.12,0,0,0.12,0
2014,0.59,0.21,0,0.03,0.04,0.13,0
2014,0.58,0.15,0,0.13,0,0.14,0
2014,0.54,0.23,0,0.08,0,0.15,0
2014,0.35,0,0.4,0.1,0,0.16,0
2014,0.59,0,0.13,0.11,0,0.17,0
2014,0.71,0.07,0,0,0.04,0.19,0
2014,0.52,0.17,0,0.1,0,0.21,0
2014,0.41,0.22,0.06,0.06,0.01,0.25,0
2014,0.45,0.22,0.02,0.04,0,0.27,0
2014,0.48,0.2,0,0.03,0,0.28,0
2014,0.65,0,0.21,0.14,0,0,0
2014,0.82,0.18,0,0,0,0,0
2014,0.64,0.3,0,0.06,0.01,0,0
2014,0.68,0.22,0,0.1,0.01,0,0
2014,0.55,0.29,0,0.14,0.01,0,0
2014,0.56,0.25,0,0.19,0.01,0,0
2014,0.62,0,0.14,0.24,0.01,0,0
2014,0.79,0.1,0,0.08,0.02,0,0
2014,0.72,0,0.06,0.19,0.02,0,0
2014,0.41,0,0.3,0.28,0.02,0,0
2014,0.7,0.19,0,0.08,0.03,0,0
2014,0.63,0.25,0,0.09,0.03,0,0
2014,0.64,0.24,0,0.1,0.03,0,0
2014,0.5,0,0.31,0.16,0.03,0,0
2014,0.6,0.15,0,0.22,0.03,0,0
2014,0.59,0.32,0,0.05,0.04,0,0
2014,0.52,0,0.28,0.16,0.04,0,0
2014,0.7,0,0,0.26,0.04,0,0
2014,0.52,0,0.15,0.29,0.04,0,0
2014,0.55,0.41,0,0,0.04,0,0
2014,0.6,0.27,0,0.08,0.05,0,0
2014,0.57,0,0.27,0.12,0.05,0,0
2014,0.67,0.12,0,0.16,0.05,0,0
2014,0.4,0.32,0,0.24,0.05,0,0
2014,0.66,0.29,0,0,0.05,0,0
2014,0.66,0.29,0,0,0.05,0,0
2014,0.66,0.27,0,0.01,0.06,0,0
2014,0.54,0.17,0.12,0.11,0.06,0,0
2014,0.51,0.11,0.21,0.11,0.06,0,0
2014,0.48,0.01,0.28,0.18,0.06,0,0
2014,0.83,0.12,0,0,0.06,0,0
2014,0.57,0.26,0,0.11,0.07,0,0
2014,0.62,0.15,0,0.16,0.07,0,0
2014,0.55,0.06,0.16,0.17,0.07,0,0
2014,0.59,0.15,0,0.19,0.07,0,0
2014,0.68,0,0,0.25,0.07,0,0
2014,0.53,0.07,0.29,0.04,0.08,0,0
2014,0.62,0.22,0,0.08,0.08,0,0
2014,0.65,0.19,0,0.09,0.08,0,0
2014,0.44,0.35,0,0.14,0.08,0,0
2014,0.61,0.15,0,0.16,0.08,0,0
2014,0.59,0,0,0.33,0.08,0,0
2014,0.61,0.26,0.04,0,0.09,0,0
2014,0.61,0.2,0,0.11,0.09,0,0
2014,0.5,0,0.24,0.17,0.09,0,0
2014,0.56,0.09,0,0.27,0.09,0,0
2014,0.67,0.15,0,0.08,0.1,0,0
2014,0.53,0.08,0.18,0.12,0.1,0,0
2014,0.72,0.06,0,0.12,0.1,0,0
2014,0.48,0.26,0,0.16,0.1,0,0
2014,0.68,0,0,0.23,0.1,0,0
2014,0.61,0.26,0,0.02,0.11,0,0
2014,0.67,0.15,0,0.07,0.11,0,0
2014,0.66,0.16,0,0.07,0.12,0,0
2014,0.62,0.17,0,0.1,0.12,0,0
2014,0.65,0.23,0,0,0.12,0,0
2014,0.76,0.11,0,0,0.13,0,0
2014,0.63,0.22,0,0.03,0.13,0,0
2014,0.64,0.15,0,0.09,0.13,0,0
2014,0.46,0.3,0,0.12,0.13,0,0
2014,0.56,0.15,0,0.16,0.13,0,0
2014,0.65,0,0.05,0.18,0.13,0,0
2014,0.57,0,0.06,0.25,0.13,0,0
2014,0.52,0.33,0,0.01,0.14,0,0
2014,0.62,0,0.08,0.16,0.14,0,0
2014,0.38,0,0.32,0.16,0.14,0,0
2014,0.59,0.12,0,0.16,0.14,0,0
2014,0.47,0,0.21,0.19,0.14,0,0
2014,0.47,0.1,0.23,0.05,0.15,0,0
2014,0.65,0,0.05,0.14,0.15,0,0
2014,0.57,0.21,0.07,0,0.15,0,0
2014,0.6,0.11,0,0.13,0.16,0,0
2014,0.54,0.19,0,0.1,0.17,0,0
2014,0.31,0,0.37,0.15,0.17,0,0
2014,0.36,0,0.17,0.31,0.17,0,0
2014,0.65,0,0,0.17,0.18,0,0
2014,0.6,0,0,0.22,0.18,0,0
2014,0.45,0,0.27,0.09,0.19,0,0
2014,0.52,0.16,0,0.13,0.19,0,0
2014,0.52,0.1,0,0.19,0.19,0,0
2014,0.55,0,0,0.26,0.19,0,0
2014,0.54,0.12,0.09,0.06,0.2,0,0
2014,0.57,0,0.14,0.09,0.2,0,0
2014,0.54,0.18,0,0.09,0.2,0,0
2014,0.61,0,0,0.19,0.2,0,0
2014,0.47,0.23,0,0.08,0.21,0,0
2014,0.4,0,0.3,0.1,0.21,0,0
2014,0.55,0.14,0,0.1,0.21,0,0
2014,0.61,0.01,0,0.17,0.21,0,0
2014,0.41,0,0.24,0.13,0.22,0,0
2014,0.64,0.12,0,0.01,0.23,0,0
2014,0.7,0,0,0.07,0.23,0,0
2014,0.52,0,0.16,0.1,0.23,0,0
2014,0.49,0,0.16,0.13,0.23,0,0
2014,0.57,0.13,0,0.06,0.24,0,0
2014,0.5,0.17,0,0.09,0.24,0,0
2014,0.49,0,0.15,0.12,0.24,0,0
2014,0.62,0,0,0.14,0.24,0,0
2014,0.52,0,0,0.23,0.24,0,0
2014,0.46,0.22,0,0.07,0.25,0,0
2014,0.54,0,0,0.21,0.25,0,0
2014,0.64,0.11,0,0,0.25,0,0
2014,0.43,0.32,0,0,0.25,0,0
2014,0.41,0.07,0.23,0.04,0.26,0,0
2014,0.52,0.13,0,0.09,0.26,0,0
2014,0.44,0,0.19,0.09,0.28,0,0
2014,0.53,0.19,0,0,0.29,0,0
2014,0.57,0,0,0.12,0.31,0,0
2014,0.43,0.08,0,0.16,0.32,0,0
2014,0.42,0,0,0.2,0.38,0,0
2015,0.11,0,0,0,0.02,0,0.87
2015,0.62,0.02,0,0.22,0.14,0,0
2015,0.61,0.07,0.11,0.05,0.17,0,0
2015,0.56,0.21,0,0.12,0.09,0.03,0
2015,0.38,0,0.41,0.14,0,0.07,0
2015,0.55,0.25,0,0.11,0,0.1,0
2015,0.55,0.08,0.25,0,0,0.11,0
2015,0.62,0.15,0,0.08,0.04,0.12,0
2015,0.4,0.25,0.23,0,0,0.13,0
2015,0.73,0.09,0,0.03,0,0.15,0
2015,0.61,0.14,0,0.05,0.03,0.16,0
2015,0.58,0.15,0,0.1,0,0.16,0
2015,0.56,0.14,0,0.08,0,0.22,0
2015,0.49,0.17,0.01,0.08,0,0.25,0
2015,0.33,0.22,0.11,0.07,0,0.28,0
2015,0.46,0,0.11,0.08,0,0.35,0
2015,0.61,0.33,0,0.06,0,0,0
2015,0.63,0.22,0,0.15,0,0,0
2015,0.54,0.28,0,0.18,0,0,0
2015,0.52,0.42,0.06,0,0,0,0
2015,0.6,0.17,0,0.21,0.01,0,0
2015,0.45,0.19,0,0.35,0.01,0,0
2015,0.85,0.08,0,0.05,0.02,0,0
2015,0.68,0.23,0,0.08,0.02,0,0
2015,0.67,0,0.22,0.1,0.02,0,0
2015,0.5,0.31,0,0.17,0.02,0,0
2015,0.67,0.16,0,0.14,0.03,0,0
2015,0.67,0.21,0,0.08,0.04,0,0
2015,0.34,0.39,0,0.24,0.04,0,0
2015,0.53,0.36,0,0.07,0.05,0,0
2015,0.54,0.29,0,0.12,0.05,0,0
2015,0.53,0,0.27,0.15,0.05,0,0
2015,0.51,0,0.29,0.15,0.05,0,0
2015,0.59,0,0.21,0.16,0.05,0,0
2015,0.52,0,0.28,0.16,0.05,0,0
2015,0.58,0.14,0,0.23,0.05,0,0
2015,0.66,0.29,0,0,0.05,0,0
2015,0.61,0.16,0.04,0.14,0.06,0,0
2015,0.84,0.1,0,0,0.06,0,0
2015,0.5,0.35,0,0.08,0.07,0,0
2015,0.44,0.1,0.26,0.13,0.07,0,0
2015,0.68,0,0,0.25,0.07,0,0
2015,0.64,0,0,0.29,0.07,0,0
2015,0.54,0.39,0,0,0.07,0,0
2015,0.62,0.24,0,0.07,0.08,0,0
2015,0.62,0.23,0,0.08,0.08,0,0
2015,0.65,0.16,0,0.11,0.08,0,0
2015,0.72,0.19,0,0,0.09,0,0
2015,0.67,0.14,0,0.1,0.09,0,0
2015,0.59,0.17,0,0.16,0.09,0,0
2015,0.52,0,0.19,0.21,0.09,0,0
2015,0.68,0,0,0.24,0.09,0,0
2015,0.67,0.2,0,0.03,0.1,0,0
2015,0.64,0.17,0,0.08,0.1,0,0
2015,0.52,0.26,0,0.12,0.1,0,0
2015,0.66,0.1,0,0.14,0.1,0,0
2015,0.52,0,0.07,0.31,0.1,0,0
2015,0.54,0,0,0.36,0.1,0,0
2015,0.6,0.31,0,0,0.1,0,0
2015,0.64,0.24,0,0.01,0.11,0,0
2015,0.6,0.18,0.06,0.04,0.11,0,0
2015,0.61,0.22,0,0.06,0.11,0,0
2015,0.66,0.14,0,0.09,0.11,0,0
2015,0.61,0.14,0,0.13,0.12,0,0
2015,0.61,0.13,0,0.14,0.12,0,0
2015,0.65,0.23,0,0,0.12,0,0
2015,0.54,0.35,0,0,0.12,0,0
2015,0.59,0.19,0.01,0.08,0.13,0,0
2015,0.62,0.16,0,0.1,0.13,0,0
2015,0.65,0,0.08,0.14,0.13,0,0
2015,0.58,0,0,0.29,0.13,0,0
2015,0.56,0.22,0,0.08,0.14,0,0
2015,0.47,0.03,0.21,0.16,0.14,0,0
2015,0.63,0.01,0,0.22,0.14,0,0
2015,0.56,0.2,0.1,0,0.14,0,0
2015,0.6,0,0.19,0.06,0.15,0,0
2015,0.52,0.12,0.11,0.1,0.15,0,0
2015,0.62,0,0.08,0.15,0.15,0,0
2015,0.58,0,0.04,0.24,0.15,0,0
2015,0.51,0.08,0.21,0.04,0.16,0,0
2015,0.6,0,0.09,0.15,0.16,0,0
2015,0.57,0.03,0.08,0.16,0.16,0,0
2015,0.66,0,0,0.18,0.16,0,0
2015,0.63,0,0,0.22,0.16,0,0
2015,0.57,0.24,0,0.02,0.17,0,0
2015,0.5,0,0.26,0.06,0.17,0,0
2015,0.72,0,0,0.12,0.17,0,0
2015,0.57,0,0.13,0.13,0.17,0,0
2015,0.53,0.15,0,0.16,0.17,0,0
2015,0.58,0.08,0.12,0.04,0.18,0,0
2015,0.44,0.09,0.25,0.04,0.18,0,0
2015,0.35,0.06,0.36,0.05,0.18,0,0
2015,0.65,0,0.09,0.08,0.18,0,0
2015,0.51,0.16,0.07,0.09,0.18,0,0
2015,0.59,0.22,0,0,0.19,0,0
2015,0.57,0.15,0.02,0.08,0.19,0,0
2015,0.47,0.12,0,0.22,0.19,0,0
2015,0.56,0.22,0.03,0,0.19,0,0
2015,0.58,0.19,0,0.04,0.2,0,0
2015,0.68,0,0.05,0.07,0.2,0,0
2015,0.46,0,0.26,0.08,0.2,0,0
2015,0.48,0.23,0,0.09,0.2,0,0
2015,0.69,0.12,0,0,0.2,0,0
2015,0.69,0.06,0,0.04,0.21,0,0
2015,0.44,0.28,0,0.07,0.21,0,0
2015,0.51,0.19,0,0.09,0.21,0,0
2015,0.42,0,0.19,0.19,0.21,0,0
2015,0.47,0.33,0,0,0.21,0,0
2015,0.56,0.18,0,0.05,0.22,0,0
2015,0.57,0,0,0.21,0.22,0,0
2015,0.53,0,0.16,0.08,0.23,0,0
2015,0.61,0,0,0.16,0.23,0,0
2015,0.49,0,0.15,0.12,0.24,0,0
2015,0.62,0,0,0.14,0.24,0,0
2015,0.51,0,0.16,0.09,0.25,0,0
2015,0.52,0,0.1,0.13,0.25,0,0
